,Unnamed: 0,filename,finding
0,0.0,auntminnie-a-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg,COVID-19
1,1.0,auntminnie-b-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg,COVID-19
2,2.0,auntminnie-c-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg,COVID-19
3,3.0,auntminnie-d-2020_01_28_23_51_6665_2020_01_28_Vietnam_coronavirus.jpeg,COVID-19
4,4.0,nejmc2001573_f1a.jpeg,COVID-19
5,5.0,nejmc2001573_f1b.jpeg,COVID-19
6,6.0,ARDSSevere.png,Non Covid
7,7.0,lancet-case2a.jpg,COVID-19
8,8.0,lancet-case2b.jpg,COVID-19
9,9.0,SARS-10.1148rg.242035193-g04mr34g0-Fig8a-day0.jpeg,Non Covid
10,10.0,SARS-10.1148rg.242035193-g04mr34g0-Fig8b-day5.jpeg,Non Covid
11,11.0,SARS-10.1148rg.242035193-g04mr34g0-Fig8c-day10.jpeg,Non Covid
12,12.0,SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg,Non Covid
13,13.0,SARS-10.1148rg.242035193-g04mr34g04b-Fig4b-day12.jpeg,Non Covid
14,14.0,SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg,Non Covid
15,15.0,SARS-10.1148rg.242035193-g04mr34g07a-Fig7a-day5.jpeg,Non Covid
16,16.0,SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg,Non Covid
17,17.0,SARS-10.1148rg.242035193-g04mr34g09a-Fig9a-day17.jpeg,Non Covid
18,18.0,SARS-10.1148rg.242035193-g04mr34g09b-Fig9b-day19.jpeg,Non Covid
19,19.0,SARS-10.1148rg.242035193-g04mr34g09c-Fig9c-day27.jpeg,Non Covid
20,20.0,1-s2.0-S0140673620303706-fx1_lrg.jpg,COVID-19
21,21.0,nCoV-radiol.2020200269.fig1-day7.jpeg,COVID-19
22,22.0,nejmoa2001191_f1-PA.jpeg,COVID-19
23,23.0,nejmoa2001191_f1-L.jpeg,COVID-19
24,24.0,nejmoa2001191_f3-PA.jpeg,COVID-19
25,25.0,nejmoa2001191_f3-L.jpeg,COVID-19
26,26.0,nejmoa2001191_f4.jpeg,COVID-19
27,27.0,nejmoa2001191_f5-PA.jpeg,COVID-19
28,28.0,nejmoa2001191_f5-L.jpeg,COVID-19
29,29.0,ryct.2020200034.fig2.jpeg,COVID-19
30,30.0,ryct.2020200034.fig5-day0.jpeg,COVID-19
31,31.0,ryct.2020200034.fig5-day4.jpeg,COVID-19
32,32.0,ryct.2020200034.fig5-day7.jpeg,COVID-19
33,33.0,ryct.2020200028.fig1a.jpeg,COVID-19
34,34.0,jkms-35-e79-g001-l-a.jpg,COVID-19
35,35.0,jkms-35-e79-g001-l-b.jpg,COVID-19
36,36.0,jkms-35-e79-g001-l-c.jpg,COVID-19
37,37.0,jkms-35-e79-g001-l-d.jpg,COVID-19
38,38.0,jkms-35-e79-g001-l-e.jpg,COVID-19
39,39.0,radiol.2020200490.fig3.jpeg,COVID-19
40,40.0,1-s2.0-S0929664620300449-gr2_lrg-a.jpg,COVID-19
41,41.0,1-s2.0-S0929664620300449-gr2_lrg-b.jpg,COVID-19
42,42.0,1-s2.0-S0929664620300449-gr2_lrg-c.jpg,COVID-19
43,43.0,1-s2.0-S0929664620300449-gr2_lrg-d.jpg,COVID-19
44,48.0,covid-19-pneumonia-15-PA.jpg,COVID-19
45,49.0,covid-19-pneumonia-15-L.jpg,COVID-19
46,50.0,covid-19-pneumonia-2.jpg,COVID-19
47,51.0,covid-19-pneumonia-7-PA.jpg,COVID-19
48,52.0,covid-19-pneumonia-7-L.jpg,COVID-19
49,54.0,covid-19-pneumonia-14-PA.png,COVID-19
50,55.0,covid-19-pneumonia-14-L.png,COVID-19
51,57.0,covid-19-pneumonia-12.jpg,COVID-19
52,58.0,acute-respiratory-distress-syndrome-ards-1.jpg,Non Covid
53,59.0,acute-respiratory-distress-syndrome-ards.jpg,Non Covid
54,60.0,ards-secondary-to-tiger-snake-bite.png,Non Covid
55,61.0,pneumocystis-pneumonia-2-PA.png,Non Covid
56,62.0,pneumocystis-pneumonia-2-L.png,Non Covid
57,63.0,streptococcus-pneumoniae-pneumonia-1.jpg,Non Covid
58,64.0,pneumonia-7.jpg,Non Covid
59,65.0,streptococcus-pneumoniae-pneumonia-temporal-evolution-1-day0.jpg,Non Covid
60,66.0,streptococcus-pneumoniae-pneumonia-temporal-evolution-1-day1.jpg,Non Covid
61,67.0,streptococcus-pneumoniae-pneumonia-temporal-evolution-1-day2.jpg,Non Covid
62,68.0,streptococcus-pneumoniae-pneumonia-temporal-evolution-1-day3.jpg,Non Covid
63,69.0,39EE8E69-5801-48DE-B6E3-BE7D1BCF3092.jpeg,COVID-19
64,70.0,191F3B3A-2879-4EF3-BE56-EE0D2B5AAEE3.jpeg,COVID-19
65,71.0,DE488FE1-0C44-428B-B67A-09741C1214C0.jpeg,COVID-19
